project;mergecommit;leftcommit;basecommit;rightcommit;ssmergeconfs;unmergeconfs
https://github.com/jenkinsci/jenkins;4d906d8976af4ace8902c220c5123ba4f2c95c44;7a43fdfa2c;90c6cc3172a21c64b1a33515f266201ea63a7b6e;16e206da9f;0;1
https://github.com/jenkinsci/jenkins;8175eecc7a3eeedef8e3a7230e2bc8680423a1ba;8423158413;1568a8bc24a3bc93e815a4b88bab6d46806e8842;0d825984ff;1;0
https://github.com/jenkinsci/jenkins;7156e4470f05a9c41015be78d827dd1be0c02fca;cd33cdd8b7;bc6254b23da6fc4bca115857ede1384aca917698;128344dda3;1;0
https://github.com/jenkinsci/jenkins;9bc2f1d057b49b7a802eb9a39a6412adaa7acc73;4bc1043244;fd772948bea6b5a62c63419f05e29201a7a974c3;7f4014c740;1;0
https://github.com/jenkinsci/jenkins;f715fc7598a5c1ab8074a58f29dd0339209cb4f3;8fc609fe09;84c76253862a2f36f813a7aa45b77d99c1616be4;a74fb0270e;1;0
https://github.com/jenkinsci/jenkins;47b8d961ae64e2589fdcad509a4d1b843ac20e62;e0ce338ba5;4c1d0a5f30532012af20ad66e4d5283a7ae2d730;3cd241eda6;1;0
https://github.com/jenkinsci/jenkins;bfa557b16af80f8451980452a3dff97643138614;24c5e5e440;9ce6b0fec3c0a0f1b9ea786865b2130a900a5886;e6c2e16f7a;1;0
https://github.com/jenkinsci/jenkins;7c988de3cdece8a5e6c7d8aca094373b47c7eabb;a1cf988bfc;1d3568835d22dfc5e8837aa72316ccc0acc8e192;76adbf9223;4;0
https://github.com/jenkinsci/jenkins;78cb49b86acef25f32e8ea01caf91023e27820a6;aa72b264dc;aa7f0a938ea81a5113452e6e9f9c94f2e75ac0f7;8d60595fce;1;0
https://github.com/jenkinsci/jenkins;e95c46e25e0e184759828d5bf56dfdd373464063;c66ad897fe;d10b9fab1d11addb7a4ca008f9eead2cb71415dc;ee7999ae6c;1;0
https://github.com/jenkinsci/jenkins;7558a6a3840d41f7e5f928e78d02e3ce9590a815;a50bdf9e6d;9ac2257d0a3fa86928267a82d69d55c5a4e423c1;e54b19d872;1;0
https://github.com/jenkinsci/jenkins;3d2956d9ad65e34cc74949e5b397b7475c6cb04b;d696cccd10;ddfe4d207750352f123bfb510db70c0ea0820ebe;2355c34dbc;1;0
https://github.com/jenkinsci/jenkins;12d96a567e88dc4b1e1fab18b81ba4a905773e9e;86f8574ff5;2d1d47edef3bca22d575c70260a9000127dfbe4f;fcb94afd0d;1;0
https://github.com/jenkinsci/jenkins;730d6ecb2d29b25ef69f5cf49e097fb09dbfc3a6;6a7b8981f9;08b957c12f5c6587c108bd761b090355c231cfaa;19511a117e;1;0
https://github.com/jenkinsci/jenkins;e02c06a20eb2a8aef08bd468c2639e805263a3bd;c11e26504e;48ef154269bdcd41ebaa9a75045491c652b0fa47;725c3fd2e9;1;0
https://github.com/jenkinsci/jenkins;f40f9bbbad7a6c2e795f854a475689c12638e560;055bc410a8;452b6fd740d46713527e703563f9f8eb356515f4;981db8b586;1;0
https://github.com/jenkinsci/jenkins;bf9f68ce050a2a2a3996b488efadc00f0aca1d93;d1dfbd2baf;bb7c8fcedbcc9b51c5b1bb5b32810af5ac6b1ffb;abf9fd3658;1;0
https://github.com/jenkinsci/jenkins;9bb8decf1103c8ca692527ff5382df823836004f;bf9f68ce05;d1dfbd2bafd49a743cbc7adcd03a75139ed0ff9f;58cd6f0ab1;1;0
https://github.com/jenkinsci/jenkins;74fb82d3770f36f957f1cdeac75b557db02eecf7;373bd8390c;9bb8decf1103c8ca692527ff5382df823836004f;b67bb4c602;1;0
https://github.com/jenkinsci/jenkins;90ff340210d9977b66b3157ccecd64da5dc783b1;12433f023f;25ac68ec8f6cbbf163f6c583c9e3cf3fb0a1a094;5a9ac399d2;1;0
https://github.com/jenkinsci/jenkins;ae5c36979a3e1ad93ef66f2090898bfdf6de1d18;91b5590f27;6219c8f9fd62d878e4c8acce6f539d569a1b54dd;e322322584;1;0
https://github.com/jenkinsci/jenkins;b859206348a4894553afb8262110ec341b261661;a9f12093de;2ed090516669dbf6c47f628105ad831bf2a4aaf3;c54c363bfe;1;0
https://github.com/jenkinsci/jenkins;265aeceda84f22fa18adb3f6460d9f9dd83a2066;e8d2668fc2;ef08dc1d7280e2817e59d967b7f0f40fa13252b0;b633f88347;1;0
