project;mergecommit;leftcommit;basecommit;rightcommit;ssmergeconfs;unmergeconfs
https://github.com/apache/cassandra;b8b56c97314c514e51a79180f1df35410fd873c1;96c0256d3d;e655d62a476f1507ab77c6ba8de2d15e3851f5e0;4a0f26c131;0;6
https://github.com/apache/cassandra;b0590c4480dbb5bb05c0ad28e223d20a0d9c9f09;886f16ca1c;e655d62a476f1507ab77c6ba8de2d15e3851f5e0;5c0c84b3d1;0;6
https://github.com/apache/cassandra;a848b08ceb4873cc773919a0065346bba5e9cafb;816c905ae2;186e994e28d24e43989d41f271266dc6e5bc9c43;dacddd2668;0;1
https://github.com/apache/cassandra;b1c2536ccb244be078cddc0da6c788d2b7c0f4ec;7902568257;2428b9c55c31d5447a1a80dc646969ae30c294bc;e56d9efb7c;2;0
https://github.com/apache/cassandra;7a8be785070f8df6cf8b35dce01e19474fc8e351;74cef19fd3;6c4c146ea7b3fd469990bf65521bff1bc58b80d2;514dcd944c;0;1
https://github.com/apache/cassandra;5a090cc5a13d01a22776378b65116868359b8f8c;01f3d0a154;19c00f72125d8a9c0b716264caa33a68cf56741d;1ecccede7d;0;1
https://github.com/apache/cassandra;c2142e65496ab81b60a1a4c8bbebf44b6fa438f0;172a9754d6;0ef188869049ec6233d115f7a46c25f492e8fa42;704ca66f99;1;0
https://github.com/apache/cassandra;0871533945b19bb5ccf96ab7a28233cadd537a59;6fd41ab158;98a08ebcf11a5124ddf865b5337c781a11377588;3b7934f1aa;0;1
https://github.com/apache/cassandra;e3baf28b61d41e34e9b75d4b7adb186fb5f5d38b;88b05ef4b0;bc25ca10cbfc9b732975bd768033a17d9de685b3;27bc7a5202;0;1
https://github.com/apache/cassandra;e63dacf793fedc8a9eed9c7fc635cde5f9fd68f3;8b2dc1f258;a7282e4dc3be81bfdc02970d9b59db5002092ed9;e889ee408b;0;5
https://github.com/apache/cassandra;9218d7456b36d20ebe78bab23594e67d2f0c4a20;fde97c3b3d;8b2dc1f258ee94a1bd574c0fd364c630671e415b;e63dacf793;0;1
https://github.com/apache/cassandra;734a3bfa782bb0489878cd14c2f589d662c22f11;5a356a7063;cedcf07c542235815c023b66f151ad8c7aa9ba9a;32a6f2059a;0;1
https://github.com/apache/cassandra;0171259d05a2dd5ec901ccadda016361312b59a9;8d5b7b6288;720870bd7f152aea81ca16a5a81e00ef701221cd;452d626a7a;0;1
https://github.com/apache/cassandra;1cce9eb5b85d7d0cb1ac069a2e59c4b7d74af517;150307e95c;6dc1745edd8d3861d853ee56f49ac67633a753b0;3cda6829cc;0;1
https://github.com/apache/cassandra;2836a644a357c0992ba89622f04668422ce2761a;f4ba9083e8;06316df549c0096bd774893a405d1d32512e97bf;bf0906b92c;0;1
https://github.com/apache/cassandra;97fb4d1029f23b53621125493e7582b2f045fdf8;e51c85f2e6;b77e11cfd51ddb0f3ac07530399abe999df0573e;cb6fad3efc;0;3
https://github.com/apache/cassandra;732c43b0f2dbc085c6e1da6498966fd656f32c2f;0918ba0117;bbf7dac87cdc41bf8e138a99f630e7a827ad0d98;84ffcb82a7;0;1
https://github.com/apache/cassandra;01d6548e0dec465c01df4248e1d740c51710a36b;839fc7e36f;d27c3ad0d2d006a5f156f0a2f2a24286d31c5069;c3ce32e239;1;0
