project;mergecommit;leftcommit;basecommit;rightcommit;ssmergeconfs;unmergeconfs
https://github.com/JetBrains/kotlin;8670d53a0bda68f3b2c15f65683b6b759182ca65;7f815176f64;e6c871aecc9896dea23d2b8f5811120ac373a1e7;e831146fe8e;1;0
https://github.com/JetBrains/kotlin;b31f4b525116f08a73e8b69c689d1e6509fcfb37;2df7f1324aa;a9ab3b87cea810fde05f296444545a0b821c139b;d445a09a80c;0;1
