project;mergecommit;leftcommit;basecommit;rightcommit;ssmergeconfs;unmergeconfs
https://github.com/Activiti/Activiti;cb0c065bd2d1c858951b0d28ee993ae73c888e95;59356bb10;6bddf067becce1c34ef21160a1954d9984452478;117f2bc60;1;0
https://github.com/Activiti/Activiti;6675bbeef23ca2343e399b16e75355bda91f8f1d;677e1e0da;2fe6ea9b7c43faab1d9ba431ce65a582cdcf603b;5dd3e6b21;0;1
https://github.com/Activiti/Activiti;78c87cca2236d7cc61570eb5d473a1a36f35ec0e;60337c5ee;715113fb25e3eaa18df0fdaf2df54211bf691fbe;d5ce0814d;0;1
