project;mergecommit;leftcommit;basecommit;rightcommit;ssmergeconfs;unmergeconfs
https://github.com/k9mail/k-9;fc8d2e99799833f2762b3946d33788c1b06edc92;effb45c46;7b8206153557865deb301c20c1eb1e5fd7603332;2058fc378;5;0
https://github.com/k9mail/k-9;88a2dd6289f46535efb04b0b8d4bf51292e57d5d;4a1046a89;f345c3372877fe3039a5ecb7c5e6f0cbec786106;807907cb9;0;1
https://github.com/k9mail/k-9;97bfb5e22903858b39fe04e78da614a65d02db23;ec17cd3c3;ab46209b538210ea6c4b7d81e27342504d1df58a;6a02552b2;0;1
https://github.com/k9mail/k-9;8e1627e1b96662866cfe97fe80cea5c4bcaa600e;4b0d3ccf2;3d583da450e094115d95e09a3998b2559ebc647a;53ae9d7fe;0;1
https://github.com/k9mail/k-9;9814833008c81f4c131cc7cbf2409fa7e6eac014;d209c0cce;c0cb734288f43b2f571adbbe57ee59b059320c6e;246ed6990;1;0
https://github.com/k9mail/k-9;4f8fc5bc5b6b33537c53ddf89b57ba865c716460;7752f42db;0ce7c911e5c39efecd2058112a4643d65664b5d9;f89b0548a;0;1
