project;mergecommit;leftcommit;basecommit;rightcommit;ssmergeconfs;ssmergeloc;ssmergerenamingconfs;ssmergedeletionconfs;ssmergeinnerdeletionconfs;ssmergetaeconfs;ssmergenereoconfs;ssmergeinitlblocksconfs;ssmergeacidentalconfs;unmergeconfs;unmergeloc;unmergetime;ssmergetime;unmergeduplicateddeclarationerrors;unmergeorderingconfs;equalconfs
https://github.com/k9mail/k-9;9cf84ee2c8cd8b7550d29ea6717e6cecd7dbf71c;b000da55d;b877a52b01dee5c3c3e9dee384850df557d75818;5a5538983;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
https://github.com/k9mail/k-9;a3793ac6516086d5e1ab45a8e74452aa8e6ab2ea;c4e519658;2d347826a77b1346d1849158dab03b0f208a0069;850aee900;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
https://github.com/k9mail/k-9;42edb24c4b2935bc8ce5a679433f7182b790bd27;9d0201eda;2d347826a77b1346d1849158dab03b0f208a0069;ae2c93318;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
https://github.com/k9mail/k-9;35f0b953c26a98c1fc381656957e083acd35c85e;a0dd3d992;ae2c93318152fd83aa0224c457835bf9393e3f1f;44d2194a0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
https://github.com/k9mail/k-9;54fd94b19439f3b43d3a5c9e3c221507f5385a53;260b933a3;63b07ed4ac6c3ac71d4b53cd2b70c56b3f0d7c1d;a47a9c2b8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
https://github.com/k9mail/k-9;ad159b30937107b32a2566e37f3864593d9032ea;580d19ec1;2ec5a712a2defc5b32a3197a0c4ebd2bef31a5fd;d31153943;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
https://github.com/k9mail/k-9;0c02fb1027bd67d706533dbf1c644bc3bb307842;5f0e51caa;ea590cbe3969f774dd385495cd17798589c6df61;d354905f2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
https://github.com/k9mail/k-9;6686b3e99310a71e0f104f0d343b8da93b9bcd11;c7a3b2828;3964189f8cc89fae0efb9ae0694309881a197b45;450a39ed8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
https://github.com/k9mail/k-9;4724848a5a1df9ca82f8c78eac1b0a6acf469a02;6630159ae;8b99b5886e58eadd758e46991e848cc736703192;e70d09143;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
https://github.com/k9mail/k-9;932d1786796d07d58f5b01496ac494063cd7dd43;4724848a5;c1df45414f8222267e988f69df37c03a76457cb6;807f85d38;24;306;0;0;0;0;0;0;5;28;257;152091535;775698507;0;4;19
